id,name,updated_at,created_at,gender,type,national_team_id,main_team,senior_team,level
bb67b10b-d23b-4f85-bb5b-c19f32bf7198,Blagnac,05/05/2020 16:26,05/05/2020 16:26,M,club,7d3aef5a-7793-46ba-89b7-cbddf6fe12eb,,,1
b85e7c2f-b0ff-42d9-b0dc-6eba4171dada,Blaydon,05/05/2020 16:26,05/05/2020 16:26,M,club,f9413c17-aeb0-4739-b9ba-b9bf52991c68,,,1
353e2f5e-78d2-44ea-9491-8bb2a75e9d10,Bloemfontein Crusaders,06/08/2020 14:33,06/08/2020 14:33,M,club,bf41a52c-94f3-426a-b707-f2f11cb01de8,,,1
9c0bb1e6-cdc3-4269-99da-12165b959382,Bloemfontein Police,06/08/2020 14:33,06/08/2020 14:33,M,club,bf41a52c-94f3-426a-b707-f2f11cb01de8,,,1
331ad8fe-635f-4a54-8bf8-309c0122d2fa,Blue Bulls,29/04/2019 19:21,20/02/2019 14:18,M,club,bf41a52c-94f3-426a-b707-f2f11cb01de8,,,1
09ba1a04-eceb-42c2-b544-0e3b8218ba24,Blue Bulls U21s,08/06/2021 22:40,08/06/2021 22:40,M,club_u21s,bf41a52c-94f3-426a-b707-f2f11cb01de8,Blue Bulls,331ad8fe-635f-4a54-8bf8-309c0122d2fa,3
46b6d5ee-4bb5-4a6a-a206-0d5e031b0558,Blues,29/04/2019 18:45,20/02/2019 14:18,M,club,cae79170-e3ef-4329-9903-c10186a49cec,,,1
6e537522-2c1f-4e86-a680-790e3ca620e2,Blues Development XV,24/04/2020 17:30,24/04/2020 17:30,M,club_adev_team,cae79170-e3ef-4329-9903-c10186a49cec,Blues,46b6d5ee-4bb5-4a6a-a206-0d5e031b0558,2
bc0f125c-70c4-4b80-94e8-98421152698a,Bogatiri,13/08/2020 11:37,13/08/2020 11:37,M,club,95c15dd0-52af-47bf-8322-753183c0477d,,,1
6f3e0da3-fc92-4438-9360-58273bcd4116,Boland Kavaliers,20/02/2019 14:18,20/02/2019 14:18,M,club,bf41a52c-94f3-426a-b707-f2f11cb01de8,,,1
5611fa1d-1a33-429f-a743-4c62dec91c9c,Bolnisi Kochebi,13/04/2020 17:45,13/04/2020 17:45,M,club,e72cf7c2-876b-41c4-bdd1-d1e4a0ebbd31,,,1
cdff2943-d1dd-4445-a693-bd2f0d6b0cb4,Bond University,29/04/2019 21:47,20/02/2019 14:18,M,club,216fc1fc-f969-462b-8875-b1910c85e482,,,1
b6f15736-f6c6-4333-90f1-d21a4d0ea23d,Bordeaux Begles,29/04/2019 19:04,20/02/2019 14:18,M,club,7d3aef5a-7793-46ba-89b7-cbddf6fe12eb,,,1
