id,name,updated_at,created_at,level,type,hemisphere,home_competition_group,competition_group,cross_border_comp,transfer_multiplier,key_competition_name
e7d6e23d-bd03-4592-ab9e-4ae0695acd79,Asia Rugby Championship,20/02/2019 14:14,20/02/2019 14:14,1,Mens,northern,international_mens,Asia,FALSE,1,International
2ac22fec-3cbd-4e5e-8ca7-520c785c3a36,Asian 5 Nations,27/04/2020 12:29,27/04/2020 12:29,1,Mens,northern,international_mens,Asia,FALSE,1,International
1ab0a068-6688-49b6-b4c2-2289bfd83fe1,Autumn Nations Cup,12/11/2020 17:46,12/11/2020 17:46,1,Mens,northern,international_mens,Europe,FALSE,1,International
a7ed1c2f-648a-4590-af1a-60a27be0dbb0,British & Irish Lions,20/02/2019 14:14,20/02/2019 14:14,1,Mens,southern,international_mens,World,FALSE,1,International
41fdaa5f-df8d-4ed9-bd58-f7a8a5c323d6,Can-Am Series,27/04/2020 12:29,27/04/2020 12:29,1,Mens,northern,international_mens,USA,FALSE,1,International
bf11e301-c079-46a0-a946-b976622f24ba,CAR Development Trophy,27/04/2020 12:29,27/04/2020 12:29,1,Mens,na,international_mens,Africa,FALSE,1,International
11d5508f-2fa3-4158-9550-b31a3b67c500,Caribbean Championships,27/04/2020 12:29,27/04/2020 12:29,1,Mens,northern,international_mens,Americas,FALSE,1,International
20315617-793c-4316-9efa-b8f286bef772,Central American Championship,27/04/2020 12:29,27/04/2020 12:29,1,Mens,northern,international_mens,World,FALSE,1,International
7df7843a-e50f-4b67-8e88-37cd274f6ac7,Churchill Cup,27/04/2020 12:29,27/04/2020 12:29,1,Mens,northern,international_mens,World,FALSE,1,International
690b93ee-ca3e-4a01-9ada-a138bdff65e0,Confederation of African Rugby Championship,27/04/2020 12:29,27/04/2020 12:29,1,Mens,na,international_mens,Africa,FALSE,1,International
6ff3f927-99e3-45f6-b6ad-ddadfa53a06c,CONSUR Cup,27/04/2020 12:29,27/04/2020 12:29,1,Mens,southern,international_mens,Americas,FALSE,1,International
fd1ebc68-1e2e-41ee-a5df-fafc96ebde7e,Elgon Cup,27/04/2020 12:29,27/04/2020 12:29,1,Mens,southern,international_mens,Africa,FALSE,1,International
36b1a8f4-ebb3-4bdf-a06a-0a026eb10bc5,Hong Kong Cup of Nations,20/02/2019 14:14,20/02/2019 14:14,1,Mens,northern,international_mens,World,FALSE,1,International
1e15147e-f687-4bb6-a44f-8ab1554b59fc,Intercontinental Cup,27/04/2020 12:29,27/04/2020 12:29,1,Mens,na,international_mens,Europe,FALSE,1,International
183ec923-6902-4c1c-9035-506588249902,International,20/02/2019 14:14,20/02/2019 14:14,1,Mens,na,international_mens,World,FALSE,1,International
5c4516c8-ebc6-473a-a12c-025b7d388b32,Mekong Cup,27/04/2020 12:29,27/04/2020 12:29,1,Mens,northern,international_mens,Asia,FALSE,1,International
7b81ef58-b89b-4b2e-9ce8-0e2e4f09a4dd,Nations Cup,20/02/2019 14:14,20/02/2019 14:14,1,Mens,northern,international_mens,World,FALSE,1,International
133c9d8e-8c84-478b-8dd7-21de2413fbd7,North African Tri Nations,27/04/2020 12:29,27/04/2020 12:29,1,Mens,northern,international_mens,Africa,FALSE,1,International
f69a1cbc-42bf-44ca-a410-63190ca4652e,Oceania Cup,13/04/2020 17:50,13/04/2020 17:50,1,Mens,southern,international_mens,Oceania,FALSE,1,International
15b81e55-97b6-409f-9af3-e85efbaaa781,Oceania Rugby Cup,27/04/2020 12:29,27/04/2020 12:29,1,Mens,southern,international_mens,Oceania,FALSE,1,International
1e83a299-ec76-487e-8680-090f9d5a47b3,Pacific Challenge,13/04/2020 17:50,13/04/2020 17:50,1,Mens,southern,international_mens,World,FALSE,1,International
c2f15e2a-41fa-40b4-8779-8156a2cc74e2,Pacific Nations Cup,20/02/2019 14:14,20/02/2019 14:14,1,Mens,southern,international_mens,World,FALSE,1,International
f3114b69-2cc7-4749-ab1d-d1a37e221469,Rugby Africa Cup,27/04/2020 12:29,27/04/2020 12:29,1,Mens,na,international_mens,Africa,FALSE,1,International
dce1cf60-fdce-45f9-83fa-b9708818a623,Rugby Americas North Championship,27/04/2020 12:29,27/04/2020 12:29,1,Mens,northern,international_mens,Americas,FALSE,1,International
46217463-e5dd-4d3b-8b0d-1efe30308267,Rugby Europe Championship,01/05/2019 23:15,01/05/2019 23:15,1,Mens,northern,international_mens,Europe,FALSE,1,International
5dab0ba3-08df-49c0-a8b3-34219efb3a6d,Rugby Europe Nations Cup,13/04/2020 17:50,13/04/2020 17:50,1,Mens,northern,international_mens,Europe,FALSE,1,International
4e28d4f0-5f4d-4783-b7fd-c47e07374471,Rugby Europe Other,05/05/2020 15:00,05/05/2020 15:00,1,Mens,northern,international_mens,Europe,FALSE,1,International
bb9dda52-4dbc-4ed3-a072-55ef9d70359b,Rugby World Cup,20/02/2019 14:14,20/02/2019 14:14,1,Mens,na,international_mens,World,FALSE,1,International
d811f6c8-af2b-4373-b641-8e6f725e9b72,Rugby World Cup Qualifying,27/04/2020 12:29,27/04/2020 12:29,1,Mens,na,international_mens,World,FALSE,1,International
146ab78d-3992-4bd9-9394-116d337503bd,Serendib International Cup,27/04/2020 12:29,27/04/2020 12:29,1,Mens,northern,international_mens,World,FALSE,1,International
9597f979-d95b-48ca-8fd3-401357e98e1c,Six Nations,20/02/2019 14:14,20/02/2019 14:14,1,Mens,northern,international_mens,Europe,FALSE,1,International
e5132fce-9605-4ab5-9083-c21a10e8afff,South American Championship,27/04/2020 12:29,27/04/2020 12:29,1,Mens,southern,international_mens,Americas,FALSE,1,International
a99d69ea-ff62-436a-a800-0c2a863f02ab,Sudamerica Rugby Six Nations,27/04/2020 12:29,27/04/2020 12:29,1,Mens,southern,international_mens,Americas,FALSE,1,International
027cbe0f-d8ee-40f7-a033-0bdab594dd4c,Sudamericano 4 Naciones,28/08/2021 13:21,28/08/2021 13:21,1,Mens,southern,international_mens,Americas,FALSE,1,International
2221d16f-43ec-46b7-bc76-8f67cfd7dd33,Superpowers Cup,27/04/2020 12:29,27/04/2020 12:29,1,Mens,northern,international_mens,World,FALSE,1,International
c2986dbb-c4fe-4e33-9f2e-70c668f21729,Tbilisi Cup,20/02/2019 14:14,20/02/2019 14:14,1,Mens,northern,international_mens,World,FALSE,1,International
7cbf859b-970e-4a6e-9960-78d1995aced9,The Rugby Championship,20/02/2019 14:14,20/02/2019 14:14,1,Mens,southern,international_mens,World,FALSE,1,International
b0311754-2836-4c77-bd7d-32bbc9dd330e,Victoria Cup,27/04/2020 12:29,27/04/2020 12:29,1,Mens,na,international_mens,Africa,FALSE,1,International
7d02a6c5-d82f-462a-99e2-ae0e3a351f55,Viking Tri Nations,27/04/2020 12:29,27/04/2020 12:29,1,Mens,northern,international_mens,Europe,FALSE,1,International
70ec044c-668c-490a-9361-61b7c4e41709,West Africa Series,27/04/2020 12:29,27/04/2020 12:29,1,Mens,na,international_mens,Africa,FALSE,1,International
fb2ac35b-5cdd-41f4-87bc-20dc944808b4,World Rugby Under 19 Championship,27/04/2020 12:29,27/04/2020 12:29,5,U19s,na,international_u19s,World,FALSE,1,Interational Age Grade
85deb35e-7242-4a33-86df-3ea8aaa26a34,Oceania Rugby U20 Championship,20/02/2019 14:14,20/02/2019 14:14,4,U20s,southern,international_u20s,Oceania,FALSE,1,Interational Age Grade
805805d1-30fb-45bf-8b24-66e7bdaf95e5,Oceania Rugby U20 Trophy,05/05/2020 15:00,05/05/2020 15:00,4,U20s,southern,international_u20s,Oceania,FALSE,1,Interational Age Grade
b98d4491-1b09-4a28-b930-bad0b2e6fbb3,U20 Americas Rugby Championship,06/08/2020 14:06,06/08/2020 14:06,4,U20s,na,international_u20s,Americas,FALSE,1,Interational Age Grade
df59b3a4-1563-4dbf-94d3-4ab762f29fcc,U20 Six Nations,20/02/2019 14:14,20/02/2019 14:14,4,U20s,northern,international_u20s,Europe,FALSE,1,Interational Age Grade
32026966-5676-487b-b74f-dc3c4f4fe756,U20s International,18/05/2020 15:53,18/05/2020 15:53,4,U20s,na,international_u20s,World,FALSE,1,Interational Age Grade
6406c1d2-c643-4daf-9427-7e8738dd6f73,World Rugby Under 20 Championship,20/02/2019 14:14,20/02/2019 14:14,4,U20s,na,international_u20s,World,FALSE,1,Interational Age Grade
b3045d16-5434-4fe2-a72c-263df273e507,World Rugby Under 20 Trophy,05/05/2020 15:00,05/05/2020 15:00,4,U20s,na,international_u20s,World,FALSE,1,Interational Age Grade
