event_id,prediction_probability,prediction_probability
9622ff0a-af1c-11ea-b79c-4865ee11b869,0.96429193,0.96429193
965d960a-af1c-11ea-8e0b-4865ee11b869,0.9010983,0.9010983
9653d8ae-af1c-11ea-8c5c-4865ee11b869,0.9667522,0.9667522
964a1b52-af1c-11ea-b4a1-4865ee11b869,0.925321,0.925321
967a940c-af1c-11ea-a1d8-4865ee11b869,0.96266925,0.96266925
968e2386-af1c-11ea-a387-4865ee11b869,0.111339204,0.111339204
9697e0da-af1c-11ea-830f-4865ee11b869,0.09807207,0.09807207
96a1ec0a-af1c-11ea-9cd6-4865ee11b869,0.8003194,0.8003194
96847868-af1c-11ea-a472-4865ee11b869,0.17106621,0.17106621
96abb2dc-af1c-11ea-b1de-4865ee11b869,0.09142226,0.09142226
96b55cee-af1c-11ea-a863-4865ee11b869,0.9702824,0.9702824
96bf413a-af1c-11ea-9426-4865ee11b869,0.27585822,0.27585822
96d2bbec-af1c-11ea-9053-4865ee11b869,0.8530984,0.8530984
96fa2622-af1c-11ea-86c9-4865ee11b869,0.711216,0.711216
97219066-af1c-11ea-8ce9-4865ee11b869,0.5177815,0.5177815
970e15a6-af1c-11ea-8df0-4865ee11b869,0.96601784,0.96601784
97040a6e-af1c-11ea-bacb-4865ee11b869,0.968344,0.968344
9717d300-af1c-11ea-8b11-4865ee11b869,0.96570927,0.96570927
972b26c6-af1c-11ea-a5b8-4865ee11b869,0.96406335,0.96406335
9734e41c-af1c-11ea-a36f-4865ee11b869,0.097528145,0.097528145
9751f524-af1c-11ea-be61-4865ee11b869,0.099528246,0.099528246
973ea170-af1c-11ea-ae1c-4865ee11b869,0.9664947,0.9664947
97485ec6-af1c-11ea-b41c-4865ee11b869,0.96340317,0.96340317
987c23fa-af1c-11ea-843c-4865ee11b869,0.9668453,0.9668453
98a3b510-af1c-11ea-94d4-4865ee11b869,0.79121494,0.79121494
98c11414-af1c-11ea-9ea3-4865ee11b869,0.966239,0.966239
98fb95ae-af1c-11ea-aa89-4865ee11b869,0.9655564,0.9655564
9921baee-af1c-11ea-8df6-4865ee11b869,0.8445541,0.8445541
99813400-af1c-11ea-be9e-4865ee11b869,0.64560694,0.64560694
9b1ad862-af1c-11ea-ab07-4865ee11b869,0.91232747,0.91232747
9b10f40c-af1c-11ea-ad44-4865ee11b869,0.8054007,0.8054007
9b2495c6-af1c-11ea-b0c7-4865ee11b869,0.96525437,0.96525437
9b8f47c2-af1c-11ea-84aa-4865ee11b869,0.108021654,0.108021654
9b7173dc-af1c-11ea-9242-4865ee11b869,0.9649353,0.9649353
9b5dc2ba-af1c-11ea-b7cb-4865ee11b869,0.23402148,0.23402148
