event_id,prediction_probability,prediction_probability
a92e60da-af1a-11ea-8a75-4865ee11b869,0.6993982,0.6993982
a9267712-af1a-11ea-ba09-4865ee11b869,0.7169438,0.7169438
a97dd11e-af1a-11ea-8ca5-4865ee11b869,0.6566608,0.6566608
a9931f76-af1a-11ea-bcdf-4865ee11b869,0.6636727,0.6636727
a9a88182-af1a-11ea-9d34-4865ee11b869,0.70473784,0.70473784
a9a16d8a-af1a-11ea-b874-4865ee11b869,0.5637589,0.5637589
aa3af646-af1a-11ea-88d0-4865ee11b869,0.8593079,0.8593079
aa761662-af1a-11ea-945c-4865ee11b869,0.6287936,0.6287936
aa9df598-af1a-11ea-aa8e-4865ee11b869,0.7159306,0.7159306
aaae0408-af1a-11ea-a399-4865ee11b869,0.7858719,0.7858719
aac3b408-af1a-11ea-9ab9-4865ee11b869,0.4082957,0.4082957
aacb0206-af1a-11ea-a4ae-4865ee11b869,0.75095695,0.75095695
aaf6d602-af1a-11ea-aeca-4865ee11b869,0.6491913,0.6491913
abe227d4-af1a-11ea-91f4-4865ee11b869,0.7595737,0.7595737
abe927e4-af1a-11ea-8b1a-4865ee11b869,0.5804354,0.5804354
ac43ed1a-af1a-11ea-86a9-4865ee11b869,0.801046,0.801046
ac27b3ba-af1a-11ea-9aea-4865ee11b869,0.73415226,0.73415226
adab3d98-af1a-11ea-a9c2-4865ee11b869,0.35923496,0.35923496
adb39c54-af1a-11ea-b827-4865ee11b869,0.6830341,0.6830341
adcabe00-af1a-11ea-be90-4865ee11b869,0.58411646,0.58411646
ae29eed2-af1a-11ea-815e-4865ee11b869,0.7201629,0.7201629
ae4c53ec-af1a-11ea-907d-4865ee11b869,0.5893378,0.5893378
ae422158-af1a-11ea-a283-4865ee11b869,0.82110906,0.82110906
ae610648-af1a-11ea-8492-4865ee11b869,0.68186164,0.68186164
ae5a0634-af1a-11ea-a1cc-4865ee11b869,0.829553,0.829553
ae68546c-af1a-11ea-9a66-4865ee11b869,0.48098415,0.48098415
ae6f7b7a-af1a-11ea-8611-4865ee11b869,0.46270907,0.46270907
ae770452-af1a-11ea-ab45-4865ee11b869,0.5658397,0.5658397
ae86ebdc-af1a-11ea-ab8a-4865ee11b869,0.56516284,0.56516284
ae8efca2-af1a-11ea-a6de-4865ee11b869,0.6645497,0.6645497
ae9f073a-af1a-11ea-944e-4865ee11b869,0.7250071,0.7250071
aeb7137e-af1a-11ea-be42-4865ee11b869,0.7181017,0.7181017
aeaf63a4-af1a-11ea-9208-4865ee11b869,0.60493875,0.60493875
aea752e4-af1a-11ea-a906-4865ee11b869,0.47645256,0.47645256
aede2fca-af1a-11ea-9d7d-4865ee11b869,0.56267744,0.56267744
af511588-af1a-11ea-a38a-4865ee11b869,0.5709348,0.5709348
af586386-af1a-11ea-a593-4865ee11b869,0.5916779,0.5916779
af5fff6e-af1a-11ea-b859-4865ee11b869,0.58194476,0.58194476
af49c75c-af1a-11ea-a41d-4865ee11b869,0.7740266,0.7740266
af721ba6-af1a-11ea-a9d8-4865ee11b869,0.82054865,0.82054865
afe736c6-af1a-11ea-b769-4865ee11b869,0.7704626,0.7704626
aff7315a-af1a-11ea-b5d0-4865ee11b869,0.5921019,0.5921019
b01c66e2-af1a-11ea-8f94-4865ee11b869,0.6126963,0.6126963
b006b724-af1a-11ea-ad9e-4865ee11b869,0.4721612,0.4721612
b00ea0ee-af1a-11ea-8ab0-4865ee11b869,0.7009775,0.7009775
b0c035c6-af1a-11ea-a142-4865ee11b869,0.5456072,0.5456072
b0dcf8de-af1a-11ea-8d3a-4865ee11b869,0.6497031,0.6497031
b1316f08-af1a-11ea-afe6-4865ee11b869,0.7999776,0.7999776
b1febae4-af1a-11ea-ab53-4865ee11b869,0.5232328,0.5232328
b20d08f4-af1a-11ea-a830-4865ee11b869,0.58993316,0.58993316
b222bbde-af1a-11ea-8702-4865ee11b869,0.7797796,0.7797796
b26bc8cc-af1a-11ea-b093-4865ee11b869,0.6531818,0.6531818
b27f9180-af1a-11ea-ba33-4865ee11b869,0.6512163,0.6512163
b2e795de-af1a-11ea-a321-4865ee11b869,0.58624315,0.58624315
b2fa3b40-af1a-11ea-9f65-4865ee11b869,0.58205104,0.58205104
b2efa6a6-af1a-11ea-9be6-4865ee11b869,0.68046886,0.68046886
b308628a-af1a-11ea-8a1b-4865ee11b869,0.68392783,0.68392783
b3792828-af1a-11ea-ae26-4865ee11b869,0.71647,0.71647
b3a01d76-af1a-11ea-ae54-4865ee11b869,0.56581795,0.56581795
b3a76b7a-af1a-11ea-b852-4865ee11b869,0.7576397,0.7576397
b39097ba-af1a-11ea-8285-4865ee11b869,0.6942403,0.6942403
b3980cb0-af1a-11ea-8d14-4865ee11b869,0.7605563,0.7605563
b41364c2-af1a-11ea-8261-4865ee11b869,0.6506918,0.6506918
b4233898-af1a-11ea-9df4-4865ee11b869,0.64982885,0.64982885
b45e9364-af1a-11ea-b554-4865ee11b869,0.7743709,0.7743709
b4c304ae-af1a-11ea-bc9a-4865ee11b869,0.59813607,0.59813607
b4cb8a52-af1a-11ea-9682-4865ee11b869,0.58314246,0.58314246
b4f0fa02-af1a-11ea-b175-4865ee11b869,0.6992655,0.6992655
b4e87464-af1a-11ea-9505-4865ee11b869,0.7850161,0.7850161
b5970050-af1a-11ea-9679-4865ee11b869,0.71868247,0.71868247
b59e0064-af1a-11ea-ab36-4865ee11b869,0.73708254,0.73708254
b5f373e2-af1a-11ea-bd42-4865ee11b869,0.4743206,0.4743206
b61de174-af1a-11ea-b0b5-4865ee11b869,0.82293457,0.82293457
b60b7782-af1a-11ea-8819-4865ee11b869,0.63226545,0.63226545
b625cb7e-af1a-11ea-9b1f-4865ee11b869,0.65696096,0.65696096
b6849bb6-af1a-11ea-af65-4865ee11b869,0.63722754,0.63722754
b6caea70-af1a-11ea-a1b4-4865ee11b869,0.53969383,0.53969383
b6e2ceee-af1a-11ea-b142-4865ee11b869,0.6186738,0.6186738
b6dae510-af1a-11ea-a09a-4865ee11b869,0.5974715,0.5974715
b7018c9a-af1a-11ea-b7f8-4865ee11b869,0.7058488,0.7058488
b8d73c7a-af1a-11ea-a047-4865ee11b869,0.47007704,0.47007704
b8deb16e-af1a-11ea-8861-4865ee11b869,0.6505899,0.6505899
b8e5d8a4-af1a-11ea-a177-4865ee11b869,0.6201237,0.6201237
b915efdc-af1a-11ea-8b7e-4865ee11b869,0.7946865,0.7946865
b90c592e-af1a-11ea-a222-4865ee11b869,0.6783186,0.6783186
b9bd7dcc-af1a-11ea-b996-4865ee11b869,0.5181039,0.5181039
b9af1bc6-af1a-11ea-bae9-4865ee11b869,0.62872183,0.62872183
b9b642d0-af1a-11ea-a044-4865ee11b869,0.70927256,0.70927256
b9d3021c-af1a-11ea-90b1-4865ee11b869,0.6252414,0.6252414
b9cbb41c-af1a-11ea-9937-4865ee11b869,0.7968129,0.7968129
ba2edb18-af1a-11ea-9990-4865ee11b869,0.6891581,0.6891581
ba35db28-af1a-11ea-9571-4865ee11b869,0.6132631,0.6132631
ba52ec38-af1a-11ea-a5db-4865ee11b869,0.622575,0.622575
ba5b23f0-af1a-11ea-ba27-4865ee11b869,0.45550734,0.45550734
ba442940-af1a-11ea-b23b-4865ee11b869,0.7588649,0.7588649
ba839ede-af1a-11ea-bcb5-4865ee11b869,0.64163613,0.64163613
bb00b7b6-af1a-11ea-8536-4865ee11b869,0.48190233,0.48190233
bb26ea68-af1a-11ea-856e-4865ee11b869,0.76464474,0.76464474
bb1da20c-af1a-11ea-93cc-4865ee11b869,0.76563084,0.76563084
bb39c954-af1a-11ea-ba46-4865ee11b869,0.54639286,0.54639286
bc17c01a-af1a-11ea-b243-4865ee11b869,0.7020203,0.7020203
bc0fe930-af1a-11ea-8798-4865ee11b869,0.41589546,0.41589546
bc2793cc-af1a-11ea-bf4b-4865ee11b869,0.6529058,0.6529058
bcb24ad2-af1a-11ea-a4b5-4865ee11b869,0.7789123,0.7789123
bc9c15dc-af1a-11ea-aa05-4865ee11b869,0.5648494,0.5648494
bca339c6-af1a-11ea-9c07-4865ee11b869,0.5901626,0.5901626
bd278cf8-af1a-11ea-a41b-4865ee11b869,0.57207924,0.57207924
bd1fa30c-af1a-11ea-9f27-4865ee11b869,0.7308106,0.7308106
bd35b402-af1a-11ea-8d71-4865ee11b869,0.5868282,0.5868282
bd3cdb10-af1a-11ea-91cb-4865ee11b869,0.78182167,0.78182167
bd4b5018-af1a-11ea-a584-4865ee11b869,0.7749055,0.7749055
bee6c164-af1a-11ea-b76b-4865ee11b869,0.6793427,0.6793427
bf01152e-af1a-11ea-a725-4865ee11b869,0.88482225,0.88482225
befa1512-af1a-11ea-90ec-4865ee11b869,0.6349035,0.6349035
bf172622-af1a-11ea-879b-4865ee11b869,0.79123074,0.79123074
bfb2c1f0-af1a-11ea-9858-4865ee11b869,0.73891795,0.73891795
